SystemId,SystemName,Grade,SingleScore,Four_Year_Graduation_Rate,CollegeEnrollment
601,Appling County,C,76.3,88.8,
602,Atkinson County,D,68.4,88.5,
603,Bacon County,C,74.3,94.3,
604,Baker County,F,54.9,77.8,
605,Baldwin County,F,59.6,92.3,
606,Banks County,C,74.6,92.7,
607,Barrow County,D,68.7,86.1,
608,Bartow County,C,74.7,87.1,
609,Ben Hill County,F,56,79.8,
610,Berrien County,C,78,79.1,
611,Bibb County,D,67.2,78.5,
612,Bleckley County,B,84.5,92,
613,Brantley County,C,76.8,82.8,
614,Brooks County,D,61.8,85.5,
615,Bryan County,C,74.8,88.1,
616,Bulloch County,C,74.8,85.1,
617,Burke County,D,66.8,89.3,
618,Butts County,D,65.2,80.8,
619,Calhoun County,F,58.2,89.4,
620,Camden County,B,84.4,92.6,
621,Candler County,C,72.5,91.2,
622,Carroll County,C,73.6,91.7,
623,Catoosa County,C,76.5,87.8,
624,Charlton County,D,64.7,86.5,
625,Chatham County,C,72.1,86.6,
626,Chattahoochee County,C,77.9,82.1,
627,Chattooga County,C,70.6,82.2,
628,Cherokee County,C,79,87.4,
629,Clarke County,D,65.5,79.6,
630,Clay County,F,55,,
631,Clayton County,D,65.1,71.7,
632,Clinch County,D,64.3,98.9,
633,Cobb County,C,79.6,85.2,
634,Coffee County,D,69.4,82.8,
635,Colquitt County,D,68.9,79.6,
636,Columbia County,B,84.3,90.6,
637,Cook County,D,65.6,89.9,
638,Coweta County,B,81.6,84.8,
639,Crawford County,D,64.2,82.6,
640,Crisp County,D,63.8,87.9,
641,Dade County,C,77.8,92.2,
642,Dawson County,C,79.9,94.7,
643,Decatur County,D,69.3,84.1,
644,DeKalb County,C,70,75,
645,Dodge County,C,75,93.1,
646,Dooly County,F,57.1,83.2,
647,Dougherty County,D,68.4,86.1,
648,Douglas County,C,76.9,86.5,
649,Early County,D,66.5,90.9,
650,Echols County,C,76,95.3,
651,Effingham County,C,79,91.3,
652,Elbert County,D,62.4,81.9,
653,Emanuel County,D,67.7,84.4,
654,Evans County,D,65.3,81.8,
655,Fannin County,B,81.8,94.3,
656,Fayette County,B,87.3,88.8,
657,Floyd County,C,77.5,93.6,
658,Forsyth County,A,90.4,94.2,
659,Franklin County,C,72.6,91.3,
660,Fulton County,B,81,86.8,
661,Gilmer County,C,78.6,83.8,
662,Glascock County,C,72.9,87.9,
663,Glynn County,C,79.3,95.1,
664,Gordon County,C,72.3,94.8,
665,Grady County,F,59.3,90.7,
666,Greene County,C,71.5,89.5,
667,Gwinnett County,B,83,81.7,
668,Habersham County,C,77,92,
669,Hall County,C,71.6,88.2,
670,Hancock County,F,51.1,83.3,
671,Haralson County,C,71.3,94.3,
672,Harris County,C,74.8,92.4,
673,Hart County,C,72.7,95.1,
674,Heard County,C,79.1,91,
675,Henry County,D,66,87.7,
676,Houston County,C,76.6,87.2,
677,Irwin County,C,71.5,92,
678,Jackson County,B,81.7,93.6,
679,Jasper County,C,71.2,84.9,
680,Jeff Davis County,C,76.8,90.4,
681,Jefferson County,F,56.2,87.5,
682,Jenkins County,D,67.9,80,
683,Johnson County,D,64.2,93.3,
684,Jones County,C,72,87.8,
685,Lamar County,C,73.6,87,
686,Lanier County,C,70.4,79.4,
687,Laurens County,C,79.7,83.7,
688,Lee County,B,80.9,87.5,
689,Liberty County,C,75.3,85,
690,Lincoln County,C,76.2,84.6,
691,Long County,C,72.7,92.4,
692,Lowndes County,B,84.5,92,
693,Lumpkin County,C,70.7,90,
694,Macon County,F,54.3,86.9,
695,Madison County,B,80.7,90.4,
696,Marion County,D,63.7,92.8,
697,McDuffie County,F,59.6,76.5,
698,McIntosh County,D,61.9,77.2,
699,Meriwether County,D,64.4,83.8,
700,Miller County,F,56.8,83.3,
701,Mitchell County,F,59.2,96.2,
702,Monroe County,B,81.4,84.8,
703,Montgomery County,D,66.4,89.3,
704,Morgan County,B,80.5,89.7,
705,Murray County,D,69.7,92.7,
706,Muscogee County,C,71.7,88.9,
707,Newton County,C,70.7,87,
708,Oconee County,B,88.1,94.3,
709,Oglethorpe County,C,75.1,90.9,
710,Paulding County,C,75.4,86.3,
711,Peach County,D,66.4,81.3,
712,Pickens County,C,71.9,95.7,
713,Pierce County,B,83.5,90.8,
714,Pike County,C,77.4,87.7,
715,Polk County,C,71.5,80.5,
716,Pulaski County,D,68,90.5,
717,Putnam County,C,71.3,92.6,
718,Quitman County,F,54,95.7,
719,Rabun County,C,74.9,94.4,
720,Randolph County,D,61.1,83.1,
721,Richmond County,D,68.3,77.7,
722,Rockdale County,D,68.5,81.8,
723,Schley County,C,70.9,97.3,
724,Screven County,C,77.2,81.6,
725,Seminole County,C,70.3,88.3,
726,Spalding County,D,64.9,85.4,
727,Stephens County,C,70.1,89.7,
728,Stewart County,C,70.1,96.2,
729,Sumter County,C,70.9,88.6,
730,Talbot County,F,59.7,95,
731,Taliaferro County,F,52.1,,
732,Tattnall County,D,65.4,84.3,
733,Taylor County,D,64.8,85.7,
734,Telfair County,C,70.9,78.3,
735,Terrell County,D,63.5,91.4,
736,Thomas County,D,65.8,90.9,
737,Tift County,D,68.4,85.3,
738,Toombs County,D,67.4,87.6,
739,Towns County,C,78.9,97.7,
740,Treutlen County,D,65.5,84.8,
741,Troup County,D,66.1,84.1,
742,Turner County,F,55,84.1,
743,Twiggs County,D,64.2,95.7,
744,Union County,C,76.2,97.5,
745,Thomaston-Upson County,D,68.2,87.1,
746,Walker County,D,67.1,88,
747,Walton County,C,75.8,87.7,
748,Ware County,C,76.4,89.7,
749,Warren County,C,73,87.9,
750,Washington County,D,69.2,95.2,
751,Wayne County,D,69.3,90.8,
752,Webster County,D,61.7,85.7,
753,Wheeler County,D,64.8,84.1,
754,White County,B,80.1,88.3,
755,Whitfield County,C,76.3,80.3,
756,Wilcox County,C,77.1,93.7,
757,Wilkes County,C,74.2,80.5,
758,Wilkinson County,C,70.2,91.8,
759,Worth County,C,75.6,76.9,
761,Atlanta Public Schools,C,73.4,79.9,
763,Bremen City,B,87.3,98,
764,Buford City,A,91.7,93.2,
765,Calhoun City,C,76.4,97.6,
766,Carrollton City,C,76.9,89.4,
767,Cartersville City,C,78.7,91.3,
769,Chickamauga City,C,78,99,
771,Commerce City,B,81.9,93.7,
772,Dalton City,C,74.5,78.9,
773,Decatur City,B,85,95.4,
774,Dublin City,D,65.5,90.2,
776,Gainesville City,D,61.5,87.9,
779,Jefferson City,A,91.2,95.5,
781,Marietta City,C,75.2,76.2,
784,Pelham City,D,69.3,90.2,
785,Rome City,C,74.8,90.5,
786,Social Circle City,D,67,93.9,
789,Thomasville City,C,75.8,75.7,
791,Trion City,B,88.8,96.1,
792,Valdosta City,D,64.3,87.8,
793,Vidalia City,D,61.5,94,
7820108,Attendance Zone,C,76.6,81.6,
7820110,Attendance Zone,B,81.6,84.8,
7820120,Attendance Zone,C,76.6,81.6,
7820121,Attendance Zone,D,65.1,71.7,
7820212,Attendance Zone,C,79,87.4,
7820412,Attendance Zone,C,76.6,81.6,
7820612,Attendance Zone,C,71.2,76.7,
7820613,Attendance Zone,C,76.6,81.6,
7820614,Attendance Zone,C,76.6,81.6,
7820615,Attendance Zone,C,75.3,90.1,
7820616,Attendance Zone,C,76.6,81.6,
7820617,Attendance Zone,D,65.1,71.7,
7820618,Attendance Zone,C,76.6,81.6,
7830103,Attendance Zone,C,74.8,85.1,
7830210,Attendance Zone,F,54.9,88,
7830310,Attendance Zone,B,81,86.8,
7830410,Attendance Zone,C,73.4,79.9,
7830610,Attendance Zone,B,81.6,84.8,
7830611,Attendance Zone,C,76.6,81.6,
7830612,Attendance Zone,C,76.6,81.6,
7830613,Attendance Zone,C,76.6,81.6,
7830614,Attendance Zone,C,76.6,81.6,
7830615,Attendance Zone,C,76.6,81.6,
7830616,Attendance Zone,C,76.6,81.6,
7830617,Attendance Zone,C,78.2,84.3,
7830618,Attendance Zone,C,76.6,81.6,
7830619,Attendance Zone,C,79.6,85.2,
7830620,Attendance Zone,,,,
7830621,Attendance Zone,,,,
7830623,Attendance Zone,,,,
7830624,Attendance Zone,,,,
7830628,Attendance Zone,,,,
7830630,Attendance Zone,,,,
