"Job Code","Title","Description","Cert. Required","Report Cert. on CPI","Function","Object"
"080","Pre-School Regular Education Teacher","Teaches regular education pre-kindergarten students.","N","Y"
"085","Kindergarten Regular Education Teacher","Teaches regular education kindergarten students.","Y","Y"
"100","Grades K-5 Combination Teacher","Teaches students in any combination of grades K through 5 combined in the same classroom.","Y","Y"
"101","Grade 1 Teacher","Teaches students in grade 1","Y","Y"
"102","Grade 2 Teacher","Teaches students in grade 2.","Y","Y"
"103","Grade 3 Teacher","Teaches students in grade 3.","Y","Y"
"104","Grade 4 Teacher","Teaches students in grade 4","Y","Y"
"105","Grade 5 Teacher","Teaches students in grade 5.","Y","Y"
"106","Grade 6 Teacher","Teaches students in grade 6","Y","Y"
"107","Grade 7 Teacher","Teaches students in grade 7","Y","Y"
"108","Grade 8 Teacher","Teaches students in grade 8","Y","Y"
"109","Grade 9 Teacher","Teaches students in grade 9.","Y","Y"
"110","Grade 10 Teacher","Teaches students in grade 10.","Y","Y"
"111","Grade 11 Teacher","Teaches students in grade 11.","Y","Y"
"112","Grade 12 Teacher","Teaches students in grade 12.","Y","Y"
"113","Grades 6-8 Combination Teacher","Teaches students in any combination of grades 6 through 8 combined in the same classroom","Y","Y"
"114","Grades 9-12 Combination Teacher","Teaches students in any combination of grades 9 through 12 combined in the same classroom.","Y","Y"
"115","Military Science Teacher","Teaches Jr. ROTC.","N","Y"
"116","Teacher - Extended Day (High School)","Teaches extended day period in any high school subjects, and earns extra pay for this through Fund Code 76 (Career, Technical and Agricultural State Grant funds).","Y","Y"
"117","Teacher-Extended Day (6-8)","Teaches extended day in any subject for grades 6 through 8, and earns extra pay for this through Fund Code 76 (Career, Technical and Agricultural Education State Grant funds).","Y","Y"
"118","Alternative School Teacher (06-08)","Teaches students in grade 6 through 8 in an Alternative School.","Y","Y"
"119","Extended Year Teacher","Teaches extended year in any subject 6-12 and earns extra pay for this through Fund Code 76 (Career, Technical and Agricultural Education State Grant funds).","Y","Y"
"120","Middle School Connections (6-8) Teacher","Teaches any middle school connections subject to students in grades 6 through 8. (See also middle school Job Code for CTAE teachers.)","Y","Y"
"121","Crossroads Alternative School Teacher (9-12)","Teaches students in grades 9 through 12 in a Crossroads Alternative School.","Y","Y"
"122","In-School Suspension (ISS) Teacher","Serves as the In-School Suspension teacher for students in any grade level.","Y","Y"
"123","Middle School Career, Technical and Agricultural Teacher","Teaches a Career, Technical and Agricultural Education Subject to students in grades 6 through 8.","Y","Y"
"124","Work Based Learning (WBL)Teacher (School Level","Coordinates work-based learning placements connected to school-based learning opportunities for student enrolled in the state-approved work-based learning courses.","Y","Y"
"130","Instructional Specialist (P-8)","Teaches Art, Music, or Physical Education to students in grades P through 8.","Y","Y"
"131","Early Intervention (EIP) Kindergarten Teacher","Teaches students in the Kindergarten Early Intervention Program (EIP).","Y","Y"
"132","Early Intervention (EIP) Primary Teacher 1-3","Teaches students in grades 1-3 Early Intervention Program (EIP) .","Y","Y"
"133","Early Intervention (EIP) 4th and 5th Grade Teacher","Teaches students in the 4th and 5th grade Early Intervention Program (EIP).","Y","Y"
"135","Literacy Coach","Assists the principal and collaborates with lead teachers to support instructional needs at the local school.","Y","Y"
"141","Preschool Special Education Teacher","Teaches Students with disabilities to pre-school students.","Y","Y"
"142","Career Technical Instruction Teacher","Teaches Career Technical Instruction (CTI) to special education students in grades 9 through 12.","Y","Y"
"144","ESOL Teacher","Teaches students in the ESOL program.","Y","Y"
"145","Hospital/Homebound Instructor","Teaches students served through the Hospital/Homebound Instruction model in grades K through 12. Certification may be in any field.","Y","Y"
"146","Gifted Elementary Teacher (P-5)","Teaches students in the Gifted Student Program (students who meet eligibility criteria for gifted students established in Department of Education Rule 160-4-2-. 08) in grades pre-school through 5.","Y","Y"
"147","Gifted Middle Teacher (6-8)","Teaches students in the Gifted Students Program (students who meet eligibility.","Y","Y"
"148","Gifted High (9-12) Teacher","Teaches students in the Gifted Student Program (students who meet eligibility criteria for gifted students established in Department of Education Rule 160-4-2-. 08) 9 through 12.","Y","Y"
"149","Adapted Physical Education Teacher","Teaches students with disabilities who require adapted physical education services.","Y","Y"
"150","Career, Technical and Agricultural Education (9-12) Teacher","Teaches any Career, Technical and Agricultural Education subject to students in grades 9 through 12.","Y","Y"
"151","Young Farmer Teacher","Teaches Agricultural Science to young farmers in the community.","Y","Y"
"152","GNETS Teacher - Locally Funded","Teaches students in a locally-funded GNETS program.","Y","Y"
"153","GNETS Teacher - Grant Funded","Teaches students in a grant-funded GNETS program.","Y","Y"
"154","Night School Teacher for High School (9-12)","Night School Teacher for High School Grades 9-12","Y","Y"
"155","Adult Education Teacher","Teaches students in the Adult Education program.","N","Y"
"156","Other Instructional Provider","Provides instructional services to students through the school or system as part of an enrichment or other program.  Salary is from Object 191.","N","N"
"157","Other Instructional Provider","Provides instructional services to students through the school or system as part of an enrichment or other program.  Salary is from Object 110.","N","Y"
"158","Teacher of Emotional/Behavioral Disorder Students","Teacher of students with Emotional/Behavioral Disorders for any grade level.","Y","Y"
"159","Teacher of Specific Learning Disability Students","Teacher of students with a Specific Learning Disability for any grade level.","Y","Y"
"160","Teacher of Mild Intellectual Disability Students","Teacher of students with Mild Intellectual Disabilities for any grade level.","Y","Y"
"161","Teacher of Moderate Intellectual Disability Students","Teacher of students with Moderate Intellectual Disabilities for any grade level.","Y","Y"
"162","Teacher of Severe Intellectual Disability Students","Teacher of students with Severe Intellectual Disabilities for any grade level.","Y","Y"
"163","Teacher of Profound Intellectual Disability Students","Teacher of students with Profound Intellectual Disabilities for any grade level.","Y","Y"
"164","Teacher of Hearing Impaired Students","Teacher of students with Hearing impairment for any grade level.","Y","Y"
"165","Teacher of Visually Impaired Students","Teacher of  students with Visual  impairment  for any grade level.","Y","Y"
"166","Teacher for Deaf/Blind Students","Teacher of Deaf/Blind students for any grade level.","Y","Y"
"167","Teacher of Autistic Students","Teacher of students with Autism any grade level.","Y","Y"
"168","Teacher of Traumatically Brain Injured Students","Teacher of students with Traumatic Brain Injuries for any grade level.","Y","Y"
"169","Teacher of Orthopedic Impaired Students","Teacher of students with Orthopedic impairment for any grade level.","Y","Y"
"170","Teacher of Other Health Impaired Students","Teacher of students with  Other Health impairment for any grade level.","Y","Y"
"171","Special Education Interrelated Teacher","Teacher of students with different areas of disability - for example, teacher of EBD students and SLD students in the same classroom.","Y","Y"
"195","20 DAY -Extended Day/Extended Year QBE Funded","20 DAY -Extended Day/Extended Year QBE Funded","Y","Y"
"300","Special Education Social Worker","Assists other school personnel and family members in solving personal adjustment problems of students with disabilities and improving school attendance.","Y","Y"
"301","Special Education Counselor","Counsels students with disabilities in any grade level.","Y","Y"
"302","Special Education Work Study Coordinator","Work Study for students with disabilities","Y","Y"
"303","Special Education Bus Driver","Responsible for the operation of a school bus for students with disabilities.","N","N"
"304","Special Education Bus Aide","Aids and assists a bus driver with students with disabilities","N","N"
"305","Special Education Secretary/Clerk","Supports special education staff with record-keeping and other clerical activities related to  students with disabilities.","N","N"
"306","GNETS Counselor","Counsels students in the GNETS Program any grade level","Y","Y"
"347","Staff Development Specialist (School)","Responsible for planning, coordinating, and scheduling staff development activities for the school. ","N","Y"
"395","Facilitator","Provides classroom supervision and assistance to students using computer-based learning software for Study Skills and/or Credit Recovery. ĀĀ(Not a content area class with teacher providing direct instruction.)","Y","Y"
"396","Non-Instructional Aide","Non-instructional aides work solely in non-instructional roles, such as food service, cafeteria or playground supervision, non-instructional computer assistance and personal care services. ","N","N"
"397","Instructional  Specialist","Coordinates regular education staff and services; provides information / assistance to the regular education program.    Includes academic coaches for Title I and other federal programs. ","Y","Y"
"398","Graduation  Coach/Specialist","Works to improve graduation rates for all population subgroups within the school by gathering and analyzing data for individual students; identifying potential barriers to graduation; developing  and implementing individual intervention strategies, and working with students to develop graduation and achievement plan to include the best program to meet academic and postsecondary goals.","N","Y"
"399","Superintendent Secretary","Secretary for the Superintendent of School System","N","N"
"400","Elementary Counselor","Counsels students in grades P through 5.","Y","Y"
"401","Middle School Counselor","Counsels students in grades 6 through 8.","Y","Y"
"402","High School Counselor","Counsels students in grades 9 through 12.","Y","Y"
"403","Counseling Paraprofessional","Assists the school counseling staff with counseling and guidance activities.","N","Y"
"404","GNETS School Psychologist","Measures and interprets students intellectual, emotional, and social development, diagnoses educational disabilities, and collaborates in the planning of educational programs in GNETS program.","Y","Y"
"405","School Psychologist","Measures and interprets students' intellectual, emotional, and social development, diagnoses educational disabilities, and collaborates in the planning of educational programs.","Y","Y"
"406","School Psychometrist","Measures the intellectual, social, and emotional development of students through the administration and interpretation of psychological tests.","Y","Y"
"407","School Social Worker","Assists other school personnel and family members in solving personal adjustment problems of students and improving school attendance.","Y","Y"
"408","Family Services Coordinator","Supports the student, family, and school in the coordination and delivery of collaborative-based community services.","N","N"
"409","School Nurse","Coordinates health care services and health education services among students, families, and community.","N","N"
"410","School Food Service Worker","Manages or assists in the planning, preparation, and serving of school meals.","N","N"
"411","Attendance Worker","Assists other school personnel in improving students' school attendance.","N","N"
"412","GNETS Social Worker","Assists other GNETS program personnel and family members in solving personal adjustment problems of students and improving school attendance.","Y","Y"
"413","Parent Coordinator","Coordinates the efforts of teachers, parents, and other school personnel in supporting students in Title I and EIP programs.","N","Y"
"414","Social Worker Assistant","Assists the School Social Worker  in solving personal adjustment problems of students and improving school attendance.","N","N"
"415","Information Services Personnel","Assists with the system-wide collection, processing, and reporting of information.","N","Y"
"416","Information Services Clerk","Assists in a clerical capacity with the collection, processing, and reporting of information in the area of student services.","N","N"
"417","Information Services Personnel - Instructional Services","Assists with the collection, processing, and reporting of Instructional Services information.","N","Y"
"418","Information Services Personnel - General Administration","Assists with the collection, processing, and reporting of General Administration information.","N","Y"
"419","Information Services Personnel - School Administration","Assists with the collection, processing, and reporting of School Administration information.","N","Y"
"420","Secretary","Supports the principal or other certified school personnel with general office management.","N","N"
"421","Information Services Personnel - Finance and Business Services","Assists with the collection, processing, and reporting of Finance and Business Services information.","N","Y"
"422","Information Services Personnel - Maintenance and Plant Services","Assists with the collection, processing, and reporting of Maintenance and Plant Services information.","N","Y"
"423","Information Services Personnel - Transportation","Assists with the collection, processing, and reporting of Transportation information.","N","Y"
"424","Information Services Personnel - Central Support Services","Assists with the collection, processing, and reporting of Central Support Services information.  Maintains, operates, or repairs I.S. equipment.","N","Y"
"425","Bookkeeper","Supports the principal or other certified school personnel with the management of financial records.","N","N"
"426","Information Services Personnel - Other Support Services","Assists with the collection, processing, and reporting of Other Support Services information.","N","Y"
"427","Information Services Personnel - School Food Service","Assists with the collection, processing, and reporting of School Food Service information.","N","Y"
"428","Enterprise Clerk","Provides clerical services to an enterprise operation.","N","N"
"429","Data Clerk","Assists with the collection and data entry of student or administrative information.","N","N"
"430","School Secretary/Clerk","Supports the principal or other certified school personnel with record-keeping and other clerical activities.","N","N"
"431","Business Services Secretary/Clerk","Supports the business services department with record keeping and other clerical activities at the system level.","N","N"
"432","Psychoeducational/GNETS School Secretary/Clerk","Supports the GNETS director or other certified school personnel with record-keeping and other clerical activities in the GNETS  program.","N","N"
"433","Head Start/Even Start Worker","Provides services to students enrolled in the Head Start Program or in the Even Start Program.","N","N"
"434","Lottery Paraprofessional Personnel - Pre-K","Assists Pre-Kindergarten teachers in instructional activities.","N","Y"
"435","Paraprofessional/Teacher Aide Personnel","Assists teachers and other certified personnel in instructional activities.","N","Y"
"436","Special Education Para-professional/ Teacher  Aid- Ages 6-21","Assists teachers of students with disabilities instructional activities - Ages 6-21","N","Y"
"437","Interpreter","Interprets spoken communication for hearing-impaired students.","N","Y"
"438","Rehabilitation Counselor","Provides counseling, evaluations, or other services to secondary special education students for purpose of transition to post-secondary vocational placement.","N","N"
"439","GNETS Para-professional/Teacher Aide","Assists GNETS teachers and other certified personnel in the GNETS program in instructional activities.","N","Y"
"440","Librarian/Media Specialist","Manages the use, purchasing, and inventory of teaching and learning resources including books, non-print media, and equipment.","Y","Y"
"441","Teacher Support Specialist","Assists teachers with diagnosing students^ learning problems and implementing instructional learning strategies.","Y","Y"
"442","Library/Media Support Paraprofessional Personnel","Assists the Librarian/Media Specialist with the management of media resources.","N","Y"
"443","Library/Media Secretary/Clerk","Assists the Librarian/Media Specialist in the capacity of clerical duties.","N","N"
"444","Nursing Assistant / Health Technician","Under the supervision of School Nurse. Assists in providing health care services and health education services to students, families, and community.","N","N"
"445","Technology Specialist","Assists teachers with incorporating various types of technology into the instructional program.","N","Y"
"446","Enterprise Technician","Repairs and maintains equipment for an enterprise operation.","N","N"
"447","Staff Development Specialist","Responsible for planning, coordinating, and scheduling staff development activities for the school system.","N","Y"
"448","Hearing Officer","Coordinates and conducts discipline hearings for the school district.","N","N"
"449","Lunchroom Monitor","Monitors student behavior in the school cafeteria while teachers are at lunch.  Salary is from Function 3100.","N","N"
"450","Lunchroom Monitor","Monitors student behavior in the school cafeteria while teachers are at lunch.  Salary is from Function 2400.","N","N"
"451","Support Services Secretary/Clerk","Assists any support services person with clerical duties.","N","N"
"452","Student Clerk/Aide","Assists school or system personnel with clerical and other activities.","N","N"
"453","Special Education Paraprofessional - Ages 3 to 5","Assists Students with disabilities From Ages 3 to 5","N","Y"
"454","School Nutrition Maintenance Personnel","Responsible for maintenance and/or warehousing operations for School Nutrition Services.","N","N"
"455","Plant Operations Director or Manager","Manages the plant operations and maintenance of the facilities.","N","Y"
"456","Maintenance Personnel","Maintains and operates building, grounds, equipment, print shop, etc.","N","N"
"457","Custodial Personnel","Cleans and maintains the overall facility.","N","N"
"458","Plant Operations and Maintenance Secretary/Clerk","Assists the Plant Operations or Maintenance Personnel in the capacity of clerical duties.","N","N"
"459","Miscellaneous Activities","Part-time or temporary activities for which payment is rendered from any function.","N","N"
"460","Transportation Director/Manager","Manages the school transportation system.","N","Y"
"461","Bus Driver","Responsible for the operation of a school bus.","N","N"
"462","Transportation Mechanic","Responsible for maintaining transportation fleet.","N","N"
"463","Transportation Secretary/Clerk","Assists the Transportation personnel in the capacity of clerical duties.","N","N"
"464","Other Transportation Personnel","Assists in transportation-related activities; includes bus monitors.","N","N"
"465","Finance & Business Service Manager","Manages the operation of school system financial accounting, purchasing, or any other business management activities.","N","Y"
"466","Finance & Business Service Personnel","Assists in managing the operation of school system financial accounting, purchasing, or any other business management activities or is responsible for one of the departments in business services.","N","Y"
"467","Auditor","Examines and reports exceptions to the school system's financial accounting, purchasing, or other business management activities","N","N"
"468","Warehouseman","Manages or is otherwise employed in warehousing and distribution.","N","N"
"469","GNETS Special Education Specialist","Coordinates GNETS staff and services; provides information/assistance to the GNETS program.","Y","Y"
"470","Planning & Evaluation Personnel","Manages or is otherwise employed in any aspect of the selection, identification, or appraisal of the overall goals, priorities, and objectives of the school system.","N","Y"
"471","Research Personnel","Manages or is otherwise employed in any aspect of program research.","N","Y"
"472","Legal Personnel","Manages or is otherwise employed in any aspect of providing legal services for the school system.","N","N"
"473","Human Resources Personnel","Manages or is otherwise employed in any aspect of personnel administration.","N","Y"
"474","Central Support Clerk","Serves any central support personnel in any aspect of clerical duties.","N","N"
"475","Special Education Specialist","Coordinates special education staff and services; provides information/assistance to the special education program.","Y","Y"
"476","Kindergarten Specialist","Provides specialized educational assistance and information to kindergarten staff members.","Y","Y"
"477","School Food Service Secretary/ Clerk/Bookkeeper","Assists the school nutrition department in record keeping and other clerical duties.","N","N"
"478","School Food Service Manager","Manages the School Food Service Program at the local school.","N","N"
"479","Diagnostician","Evaluates educational levels and special learning needs of students.","Y","Y"
"480","Speech-Language Pathologist","Provides diagnostic services to students who meet eligibility requirements in the area of Speech-Language Impairments.","N","Y"
"481","Audiologist","Provides diagnostic, evaluative, and support services for students with hearing impairments.","Y","Y"
"482","Physical Therapist (PT)","Provides services to students to promote motor coordination, posture, proper positioning, mobility, and functional independence.","N","Y"
"483","Occupational Therapist (OT)","Provides services to students to improve quality of movement, fine motor functioning, and independence in activities of daily living.","N","Y"
"484","Orientation/Mobility Specialist","Provides systematic techniques to orient students with visual impairments to their environments and help them move about independently.","N","Y"
"485","Recreational Therapist (RT)","Provides instruction that enables students to develop skills and abilities for leisure/ recreation purposes.","N","Y"
"486","Special Education Nurse","Provides services to students with physical and health impairments including direct treatments, independent health care, parent and teacher consultations, and home visits.","N","N"
"487","General Administration Secretary/Clerk","Provides clerical services to general administration area of the school system.","N","N"
"488","Public Relations Personnel","Serves as or supports liaison between school system and the general public including the media.","N","N"
"489","Construction Manager/Director","Manages and oversees the construction of facilities for the school district.","N","N"
"490","Security Personnel / Security Officer","Provides or assists in providing security services for a school or a school system.","N","N"
"491","Crossing Guard","Assists students and staff in traffic control in and around the school.","N","N"
"492","Migrant Education Recruiter","Supports the district's efforts in locating and education of school-age children of migrant workers.","N","N"
"493","Extra-Curricular Activities Sponsor","Assists the school or district with planning and implementation of co-curricular activities.","N","N"
"495","Athletics Personnel","Serves as or supports the system or school athletic program.","N","Y"
"496","School Doctor","Provides health care services as a licensed physician to students, families, and community through the school or district.","N","N"
"497","After-School Program Worker","Assists the school or district with the implementation of the After-School Program","N","N"
"498","Enterprise ASP Worker","Assists with the planning and operation of an enterprise After-School Program.","N","N"
"499","Community Services Secretary","Supports Community Services personnel with general office management.","N","N"
"600","Superintendent","Serves as the chief executive officer of the school system.","Y","Y"
"601","Deputy/Associate/Assistant/ Area Superintendent","Assists the chief executive officer of the school system with administrative duties as Deputy, Associate, Assistant, or Area Superintendent.","N","Y"
"602","Personnel/Human Resources Director","Serves as chief executive officer of the personnel or human resources division of the school system.","N","Y"
"604","Technical Institute President","Serves as the chief executive officer of the technical institute.","N","Y"
"605","RESA Director","Serves as chief executive officer of the Regional Educational Services Agency.","Y","Y"
"610","Principal","Serves as administrative head of a school.  Responsible for the coordination and direction of all school activities.","Y","Y"
"612","Pre-K Director","Serves as the administrative head of a Pre-Kindergarten program or school.","N","Y"
"613","Pre-K Director","Serves as the administrative head of a Pre-K program at the district level.","N","Y"
"614","Alternative School Director","Serves as the administrative head of an alternative school.","Y","Y"
"615","Assistant Principal","Assists the principal in coordinating and directing school activities.","Y","Y"
"620","Director of Curriculum/Instruction","Coordinates the development and improvement of the programs of studies, co-curricular activities, and instructional services of the school system.","Y","Y"
"621","Instructional Supervisor","Manages a part of the curriculum for a school or a school system.  Provides leadership and guidance for the purpose of improving the performance of the instructional staff members.  Also includes Department Heads.","Y","Y"
"622","Director of School Safety","Manages/coordinates the school safety program for the school system.","N","Y"
"625","Director/Manager of Media Services","Manages the media services program for the school system.","Y","Y"
"630","Food Service Administrator","Manages some aspect of the food services program for the school system, including dietitian, nutritionist, food services supervisor, and director of food services.","Y","Y"
"634","Social Services Case Manager","Manages and directs the Community Services program.","N","N"
"635","Community School Director/Coordinator","Coordinates the community schools program at the school.","N","Y"
"640","Special Education Director","Manages and directs the school system program for eligible students with disabilities.","Y","Y"
"641","Director of Student Services","Manages and directs the guidance and counseling program, discipline program, and/or other student services for the school system.","Y","Y"
"642","School Improvement Specialist","Directs the School Improvement program for a school system or a group of school systems.","Y","Y"
"643","Technology Director","Manages and directs activities related to information technology and technology specialists.","N","Y"
"644","Enterprise Tech Coordinator","Supervises and directs activities related to technology for an enterprise operation.","N","N"
"645","Kindergarten Director","Manages and directs the school system program provided for kindergarten students.","Y","Y"
"646","Federal Programs Director","Manages and directs various federal programs for the system.","N","N"
"648","Title I Director","Manages and directs the Title I (Elementary and Secondary Education Act of 1995) program.","Y","Y"
"650","Director of GNETS Program","Manages and directs the GNETS program for students with severe emotional and behavioral disorders or autism.","Y","Y"
"651","Even Start Director","Manages and directs the Even Start program for the school district.","N","N"
"652","School Improvement Specialist (School)","Directs the School Improvement programs for a school. ","Y","Y"
"660","Director of Ga. Learning Resources System","Plans and directs activities of GLRS (Georgia Learning Resources System) program including dissemination of information, instructional materials and media, recruitment of qualified personnel, and staff development programs for parents and personnel.","Y","Y"
"665","Special Education Program Specialist","Coordinates activities with community agencies, parents, and the school system in the identification, placement, reporting, and follow-up of pre-school and school age children with disabilities.  Provides assistance in designing and implementing.","Y","Y"
"670","Career, Technical and  Agricultural Education Director (LUA)","Manages and gives direction to the total program of Career, Technical and  Agricultural Education in a school system.","Y","Y"
"671","Career, Technical and Agricultural Education Director (RESA)","Provides technical assistance on Career, Technical and Agricultural Education to systems within a RESA.","Y","Y"
"672","Career, Technical and Agricultural Education  Supervisor (School level)","Supervises the Career, Technical and Agricultural Education instructional programs within a high school or educational center.","Y","Y"
"673","Youth Apprenticeship Coordinator","Coordinates the youth apprenticeship program for the system or RESA.","N","Y"
"674","CTAE Director/Supervisor of Extended Year Program","A Career, Technical and Agricultural Education (CTAE) director or supervisor, with a leadership certificate, who also provides  supervision of the summer CTAE  instructional programs and earns extra pay for this through Fund Code 76 (CTAE Extended Year state grant funds).","Y","Y"
"675","Adult Education Director/Coordinator","Manages and directs the instructional program for adult learners.","N","Y"
"680","Athletics Director","Manages and directs the athletics/sports program for the school system","N","Y"
"691","District Board Member","District School Board Member (Do Not Report on CPI - for CS1 Purposes Only.)","N","N"
