"Subject Matter Code","Subject Matter"
"010","Agricultural Business & Production Technology"
"012","Agricultural Business & Production Technology"
"013","Agricultural Business & Production Technology"
"018","Agricultural Business & Production Technology"
"020","Agricultural Sciences & Technology"
"022","Agricultural Sciences & Technology"
"023","Agricultural Sciences & Technology"
"028","Agricultural Sciences & Technology"
"030","Agricultural Conservation & Renewable Natural Resources"
"032","Agricultural Conservation & Renewable Natural Resources"
"033","Agricultural Conservation & Renewable Natural Resources"
"038","Agricultural Conservation & Renewable Natural Resources"
"060","Business and Computer Science"
"062","Business and Computer Science"
"063","Business and Computer Science"
"068","Business and Computer Science"
"070","Business and Computer Science"
"072","Business and Computer Science"
"073","Business and Computer Science"
"078","Business and Computer Science"
"080","Marketing, Sales & Service"
"082","Marketing, Sales & Service"
"083","Marketing, Sales & Service"
"088","Marketing, Sales & Service"
"100","Communication Technologies - Broadcast and Video Production"
"102","Communication Technologies - Broadcast and Video Production"
"103","Communication Technologies - Broadcast and Video Production"
"108","Communication Technologies - Broadcast and Video Production"
"110","Information Technology and Advanced Placement Computer Science"
"112","Information Technology and Advanced Placement Computer Science"
"113","Information Technology and Advanced Placement Computer Science"
"118","Information Technology and Advanced Placement Computer Science"
"120","Personal Services Occupations - Includes Cosmetology"
"122","Personal Services Occupations - Includes Cosmetology"
"123","Personal Services Occupations - Includes Cosmetology"
"128","Personal Services Occupations - Includes Cosmetology"
"130","Education"
"132","Education"
"133","Education"
"138","Education"
"170","Health"
"172","Health"
"173","Health"
"178","Health"
"200","Family & Consumer Sciences - Include Culinary Arts & Early Childhood Occupations"
"202","Family & Consumer Sciences - Include Culinary Arts & Early Childhood Occupations"
"203","Family & Consumer Sciences - Include Culinary Arts & Early Childhood Occupations"
"208","Family & Consumer Sciences - Include Culinary Arts & Early Childhood Occupations"
"210","Technology Education - includes Engineering courses"
"212","Technology Education - includes Engineering courses"
"213","Technology Education - includes Engineering courses"
"218","Technology Education - includes Engineering courses"
"230","English Language Arts"
"231","English Language Arts"
"232","English Language Arts"
"233","English Language Arts"
"238","English Language Arts"
"250","Public Health and Medical Occupations"
"252","Public Health and Medical Occupations"
"253","Public Health and Medical Occupations"
"258","Public Health and Medical Occupations"
"260","Life Sciences"
"262","Life Sciences"
"263","Life Sciences"
"268","Life Sciences"
"270","Mathematics"
"271","Mathematics - Remedial"
"272","Mathematics"
"273","Mathematics"
"278","Mathematics"
"280","Military Science"
"282","Military Science"
"283","Military Science"
"288","Military Science"
"2R0","English Language Arts Reading"
"2R1","English Language Arts Reading"
"2R2","English Language Arts Reading"
"2R3","English Language Arts Reading"
"2R8","English Language Arts Reading"
"320","Intervention and Career Connections Programs - CTI & CCAE"
"322","Intervention and Career Connections Programs - CTI & CCAE"
"323","Intervention and Career Connections Programs - CTI & CCAE"
"328","Intervention and Career Connections Programs - CTI & CCAE"
"350","Personal, Interpersonal & Social Skills"
"352","Personal, Interpersonal & Social Skills"
"353","Personal, Interpersonal & Social Skills"
"358","Personal, Interpersonal & Social Skills"
"360","Physical Education"
"362","Physical Education"
"363","Physical Education"
"368","Physical Education"
"400","Scientific Methods, Research and Technology"
"402","Scientific Methods, Research and Technology"
"403","Scientific Methods, Research and Technology"
"408","Scientific Methods, Research and Technology"
"410","Science (Grades K-5)"
"412","Science (Grades K-5)"
"413","Science (Grades K-5)"
"418","Science (Grades K-5)"
"420","Psychology"
"422","Psychology"
"423","Psychology"
"428","Psychology"
"430","Public Safety"
"432","Public Safety"
"433","Public Safety"
"438","Public Safety"
"440","Humanities"
"442","Humanities"
"443","Humanities"
"448","Humanities"
"450","Social Sciences"
"452","Social Sciences"
"453","Social Sciences"
"458","Social Sciences"
"460","Construction Technology"
"462","Construction Technology"
"463","Construction Technology"
"468","Construction Technology"
"470","Mechanical - Automotive, HVAC, Aviation, Electronics Occupations (includes DCT)"
"472","Mechanical - Automotive, HVAC, Aviation, Electronics Occupations (includes DCT)"
"473","Mechanical - Automotive, HVAC, Aviation, Electronics Occupations (includes DCT)"
"478","Mechanical - Automotive, HVAC, Aviation, Electronics Occupations (includes DCT)"
"480","Precision Production - Drafting, Welding, Graphic Arts, & Machining Occupations"
"482","Precision Production - Drafting, Welding, Graphic Arts, & Machining Occupations"
"483","Precision Production - Drafting, Welding, Graphic Arts, & Machining Occupations"
"488","Precision Production - Drafting, Welding, Graphic Arts, & Machining Occupations"
"490","Manufacturing Sciences - Engineering Science, Maintenance, Installation & Repair"
"492","Manufacturing Sciences - Engineering Science, Maintenance, Installation & Repair"
"493","Manufacturing Sciences - Engineering Science, Maintenance, Installation & Repair"
"498","Manufacturing Sciences - Engineering Science, Maintenance, Installation & Repair"
"4C0","Chemistry"
"4C2","Chemistry"
"4C3","Chemistry"
"4C8","Chemistry"
"4E0","Social Sciences Economics"
"4E2","Social Sciences Economics"
"4E3","Social Sciences Economics"
"4E8","Social Sciences Economics"
"4G0","Social Sciences Government"
"4G2","Social Sciences Government"
"4G3","Social Sciences Government"
"4G8","Social Sciences Government"
"4H0","Social Sciences History"
"4H2","Social Sciences History"
"4H3","Social Sciences History"
"4H8","Social Sciences History"
"4P0","Physics"
"4P2","Physics"
"4P3","Physics"
"4P8","Physics"
"4S0","Earth & Space Sciences"
"4S2","Earth & Space Sciences"
"4S3","Earth & Space Sciences"
"4S8","Earth & Space Sciences"
"4Y0","Social Sciences Geography"
"4Y2","Social Sciences Geography"
"4Y3","Social Sciences Geography"
"4Y8","Social Sciences Geography"
"500","Visual Arts"
"502","Visual Arts"
"503","Visual Arts"
"508","Visual Arts"
"510","Dance"
"512","Dance"
"513","Dance"
"518","Dance"
"520","Dramatic Arts"
"522","Dramatic Arts"
"523","Dramatic Arts"
"528","Dramatic Arts"
"530","Music"
"532","Music"
"533","Music"
"538","Music"
"540","Chorus"
"542","Chorus"
"543","Chorus"
"548","Chorus"
"550","English to Speakers of Other Languages (ESOL)"
"552","English to Speakers of Other Languages (ESOL)"
"553","English to Speakers of Other Languages (ESOL)"
"558","English to Speakers of Other Languages (ESOL)"
"610","Germanic,Slavic & Classical Languages German"
"612","Germanic,Slavic & Classical Languages German"
"613","Germanic,Slavic & Classical Languages German"
"618","Germanic,Slavic & Classical Languages German"
"620","Asian Languages"
"622","Asian Languages"
"623","Asian Languages"
"628","Asian Languages"
"630","African and Semitic Languages"
"632","African and Semitic Languages"
"633","African and Semitic Languages"
"638","African and Semitic Languages"
"640","American Sign Language"
"642","American Sign Language"
"643","American Sign Language"
"648","American Sign Language"
"6A0","Farsi"
"6A2","Farsi"
"6A3","Farsi"
"6A8","Farsi"
"6B0","Arabic"
"6B2","Arabic"
"6B3","Arabic"
"6B8","Arabic"
"6C0","Chinese"
"6C2","Chinese"
"6C3","Chinese"
"6C8","Chinese"
"6D0","Hindi"
"6D2","Hindi"
"6D3","Hindi"
"6D8","Hindi"
"6F0","Romance Languages French"
"6F2","Romance Languages French"
"6F3","Romance Languages French"
"6F8","Romance Languages French"
"6G0","Germanic, Slavic & Classical Languages Greek"
"6G2","Germanic, Slavic & Classical Languages Greek"
"6G3","Germanic, Slavic & Classical Languages Greek"
"6G8","Germanic, Slavic & Classical Languages Greek"
"6H0","Hebrew"
"6H2","Hebrew"
"6H3","Hebrew"
"6H8","Hebrew"
"6I0","Romance Languages Italian"
"6I2","Romance Languages Italian"
"6I3","Romance Languages Italian"
"6I8","Romance Languages Italian"
"6J0","Japanese"
"6J2","Japanese"
"6J3","Japanese"
"6J8","Japanese"
"6K0","Korean"
"6K2","Korean"
"6K3","Korean"
"6K8","Korean"
"6L0","Germanic, Slavic & Classical Languages Latin"
"6L2","Germanic, Slavic & Classical Languages Latin"
"6L3","Germanic, Slavic & Classical Languages Latin"
"6L8","Germanic, Slavic & Classical Languages Latin"
"6M0","Romance Languages Modern Foreign Language"
"6M2","Romance Languages Modern Foreign Language"
"6M3","Romance Languages Modern Foreign Language"
"6M8","Romance Languages Modern Foreign Language"
"6P0","Portuguese"
"6P2","Portuguese"
"6P3","Portuguese"
"6P8","Portuguese"
"6R0","Germanic, Slavic & Classical Languages Russian"
"6R2","Germanic, Slavic & Classical Languages Russian"
"6R3","Germanic, Slavic & Classical Languages Russian"
"6R8","Germanic, Slavic & Classical Languages Russian"
"6S0","Romance Languages Spanish"
"6S2","Romance Languages Spanish"
"6S3","Romance Languages Spanish"
"6S8","Romance Languages Spanish"
"6T0","Turkish"
"6T2","Turkish"
"6T3","Turkish"
"6T8","Turkish"
"6U0","Urdu"
"6U2","Urdu"
"6U3","Urdu"
"6U8","Urdu"
"6W0","Swahili"
"6W2","Swahili"
"6W3","Swahili"
"6W8","Swahili"
"700","Professional/Career Preparation"
"702","Professional/Career Preparation"
"703","Professional/Career Preparation"
"708","Professional/Career Preparation"
"800","Regular Ed - Consultative - Not Teacher of Record"
"808","Spec Ed Service - Consultative Role Only"
"900","Computer Assisted Instruction - No Content Delivery"
"910","Study Skills - Not Subject-Specific"
"911","Study Skills - Not Subject-Specific (Remedial)"
"912","Study Skills - Not Subject-Specific (Gifted)"
"918","Study Skills - Not Subject-Specific (Special Ed)"
"920","Elementary Instruction"
"922","Elementary Instruction"
"923","Elementary Instruction"
"928","Elementary Instruction"
"930","Middle Grades 6, 7, 8"
"932","Middle Grades 6, 7, 8"
"933","Middle Grades 6, 7, 8"
"938","Middle Grades 6, 7, 8"
"950","High School Grades 9, 10, 11, 12"
"952","High School Grades 9, 10, 11, 12"
"953","High School Grades 9, 10, 11, 12"
"958","High School Grades 9, 10, 11, 12"
"962","Gifted"
"970","Grades P through 12"
"972","Grades P through 12"
"973","Grades P through 12"
"978","Grades P through 12"
"999","Not applicable"
